StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Baby- Hallway,Teacher- Hallway,Peer,Foreign- Hallway,Baby- Classroom,Teacher- Classroom,Peer- Classroom,Foreign- Classroom,Baby- Playground,Teacher- Playground,Peer- Playground,Foreign- Playground
2024-12-13 06:13:54,2024-12-13 06:48:59,0,192.42.89.2,100,2105,1,2024-12-13 06:49:00,R_1pDoAYBdu9Mnznz,,,,,42.2958,-71.3018,anonymous,EN,1042,1,0,0,0,1,1,1,0,1,0,0,0
2024-12-13 06:59:15,2024-12-13 07:07:28,0,192.42.89.2,100,492,1,2024-12-13 07:07:28,R_64hOtg2PMxz88og,,,,,42.2958,-71.3018,anonymous,EN,1024,1,1,1,1,1,1,1,0,1,0,1,0
2024-12-13 07:07:36,2024-12-13 07:48:49,0,192.42.89.2,100,2473,1,2024-12-13 07:48:50,R_6N6e9W2rd2T6Nt7,,,,,42.2958,-71.3018,anonymous,EN,1021,1,1,0,1,1,0,1,1,0,1,1,1
2024-12-13 07:48:54,2024-12-13 08:04:49,0,192.42.89.2,100,954,1,2024-12-13 08:04:49,R_3Esf4rBfTuZmJWO,,,,,42.2958,-71.3018,anonymous,EN,1022,1,1,1,0,1,1,1,1,1,1,0,1
2024-12-13 08:04:53,2024-12-13 08:27:39,0,192.42.89.2,100,1366,1,2024-12-13 08:27:39,R_5n43kJEe0IGDQsh,,,,,42.2958,-71.3018,anonymous,EN,1044,1,1,1,0,1,1,1,1,0,0,1,1
2024-12-13 08:45:58,2024-12-13 08:57:46,0,192.42.89.2,100,707,1,2024-12-13 08:57:47,R_1niucM4xCmJf5Tx,,,,,42.2958,-71.3018,anonymous,EN,1028,1,0,0,0,1,0,1,0,0,0,0,1
2024-12-13 08:57:52,2024-12-13 09:19:27,0,192.42.89.2,100,1295,1,2024-12-13 09:19:27,R_3O9HvGDT0Jf5HOx,,,,,42.2958,-71.3018,anonymous,EN,1041,1,1,1,1,1,1,1,0,0,0,1,1
2024-12-13 09:19:33,2024-12-13 09:38:36,0,192.42.89.2,100,1143,1,2024-12-13 09:38:37,R_1oH326BwMqjFCVG,,,,,42.2958,-71.3018,anonymous,EN,1030,1,0,1,1,1,0,1,1,1,1,1,0
2024-12-13 09:38:47,2024-12-13 09:55:47,0,192.42.89.2,100,1019,1,2024-12-13 09:55:48,R_6KVnyNUmTCD2QRW,,,,,42.2958,-71.3018,anonymous,EN,1020,1,1,0,0,1,0,1,0,1,0,0,1
2024-12-13 09:55:53,2024-12-13 10:18:52,0,192.42.89.2,100,1379,1,2024-12-13 10:18:52,R_1gSGAYivoteLXne,,,,,42.2958,-71.3018,anonymous,EN,1025,1,0,0,1,1,1,1,1,1,0,0,1
